,Date,00:00-09:00,09:00-18:00,18:00-00:00,day_of_the_week
299,2021-10-26,64.82,69.18,46.82,1
300,2021-10-27,64.82,37.85,47.0,2
301,2021-10-28,66.0,47.0,46.33,3
302,2021-10-29,66.33,55.65,46.0,4
303,2021-10-30,65.35,21.65,44.35,5
304,2021-10-31,70.35,37.65,44.35,6
305,2021-11-01,63.36,56.64,46.0,0
306,2021-11-02,66.64,44.98,45.38,1
307,2021-11-03,66.38,89.58,45.42,2
308,2021-11-04,64.0,78.0,46.42,3
309,2021-11-05,66.56,91.43,47.44,4
310,2021-11-06,62.0,35.45,43.55,5
311,2021-11-07,61.0,27.0,42.0,6
312,2021-11-08,61.45,87.55,46.0,0
313,2021-11-09,61.45,91.55,47.0,1
314,2021-11-10,65.54,67.46,47.53,2
315,2021-11-11,64.53,89.0,46.0,3
316,2021-11-12,65.0,55.0,45.0,4
317,2021-11-13,62.0,25.52,43.0,5
318,2021-11-14,62.48,42.0,44.0,6
319,2021-11-15,64.5,74.49,46.0,0
320,2021-11-16,63.0,116.5,46.0,1
321,2021-11-17,63.5,98.99,46.51,2
322,2021-11-18,67.0,69.52,46.48,3
323,2021-11-19,64.48,66.0,46.52,4
324,2021-11-20,61.53,25.47,44.53,5
325,2021-11-21,62.53,27.47,43.99,6
326,2021-11-22,64.0,99.0,58.54,0
327,2021-11-23,78.0,102.1,55.0,1
328,2021-11-24,87.0,59.0,46.44,2
329,2021-11-25,68.0,103.0,47.0,3
330,2021-11-26,64.0,107.0,47.44,4
331,2021-11-27,65.0,49.44,55.55,5
332,2021-11-28,79.0,61.45,55.55,6
333,2021-11-29,85.09,142.46,72.0,0
334,2021-11-30,92.0,97.0,46.45,1
335,2021-12-01,82.54,138.46,54.0,2
336,2021-12-02,78.54,136.45,45.0,3
337,2021-12-03,66.08,126.92,45.54,4
338,2021-12-04,63.53,58.47,42.53,5
339,2021-12-05,62.47,58.0,42.52,6
340,2021-12-06,68.52,174.48,46.48,0
341,2021-12-07,67.0,101.0,47.0,1
342,2021-12-08,63.0,57.49,42.51,2
343,2021-12-09,67.51,138.0,47.49,3
344,2021-12-10,68.01,163.5,47.0,4
345,2021-12-11,63.51,37.99,42.5,5
346,2021-12-12,62.5,26.5,44.0,6
347,2021-12-13,67.01,134.49,60.0,0
348,2021-12-14,81.0,102.0,48.5,1
349,2021-12-15,63.5,102.5,47.5,2
350,2021-12-16,67.5,94.99,46.51,3
351,2021-12-17,75.99,92.5,47.51,4
352,2021-12-18,68.0,46.51,47.49,5
353,2021-12-19,82.0,30.51,50.0,6
354,2021-12-20,92.49,178.51,50.0,0
355,2021-12-21,70.97,143.52,48.0,1
356,2021-12-22,68.48,144.49,48.0,2
357,2021-12-23,65.0,140.0,47.54,3
358,2021-12-24,69.0,99.0,43.0,4
359,2021-12-25,62.46,54.0,43.0,5
360,2021-12-26,63.0,45.0,43.0,6
361,2021-12-27,70.46,133.0,48.54,0
362,2021-12-28,77.92,117.54,45.54,1
363,2021-12-29,70.0,100.0,46.0,2
364,2021-12-30,68.92,96.54,46.54,3
365,2021-12-31,65.0,59.54,42.46,4
366,2022-01-01,62.0,29.46,43.0,5
367,2022-01-02,62.46,44.54,42.0,6
368,2022-01-03,70.0,114.0,45.54,0
369,2022-01-04,71.0,116.54,45.46,1
370,2022-01-05,66.46,71.0,44.54,2
371,2022-01-06,63.0,42.0,42.99,3
372,2022-01-07,68.0,30.0,43.0,4
373,2022-01-08,62.55,26.0,43.45,5
374,2022-01-09,63.0,50.0,43.45,6
375,2022-01-10,69.46,179.54,46.55,0
376,2022-01-11,71.46,131.54,46.55,1
377,2022-01-12,68.46,106.54,45.55,2
378,2022-01-13,68.46,106.54,45.0,3
379,2022-01-14,69.46,106.54,44.55,4
380,2022-01-15,62.0,25.0,43.0,5
381,2022-01-16,61.45,24.55,42.45,6
382,2022-01-17,72.46,121.54,55.55,0
383,2022-01-18,85.46,116.54,47.0,1
384,2022-01-19,68.91,118.54,45.0,2
385,2022-01-20,69.91,136.54,46.55,3
386,2022-01-21,73.0,94.0,47.0,4
387,2022-01-22,64.0,24.0,44.45,5
388,2022-01-23,63.45,23.99,44.0,6
389,2022-01-24,76.89,121.55,57.0,0
390,2022-01-25,85.44,113.0,49.0,1
391,2022-01-26,68.44,118.0,45.56,2
392,2022-01-27,69.43,119.57,51.56,3
393,2022-01-28,78.43,129.57,48.56,4
394,2022-01-29,65.56,24.44,45.56,5
395,2022-01-30,64.56,26.44,45.56,6
396,2022-01-31,77.43,202.0,56.57,0
397,2022-02-01,87.44,81.0,51.0,1
398,2022-02-02,74.87,94.57,47.56,2
399,2022-02-03,76.43,82.56,47.57,3
400,2022-02-04,75.43,138.57,49.57,4
401,2022-02-05,63.57,31.43,44.57,5
402,2022-02-06,65.57,24.43,44.57,6
403,2022-02-07,67.0,89.57,48.42,0
404,2022-02-08,71.43,84.57,48.58,1
405,2022-02-09,74.42,78.58,52.58,2
406,2022-02-10,87.0,68.0,48.0,3
407,2022-02-11,76.81,88.6,47.59,4
408,2022-02-12,65.59,23.41,46.59,5
409,2022-02-13,66.59,29.41,46.0,6
410,2022-02-14,71.0,120.99,52.0,0
411,2022-02-15,74.6,98.4,45.6,1
412,2022-02-16,65.41,83.59,46.0,2
413,2022-02-17,71.41,81.59,43.0,3
414,2022-02-18,71.41,106.59,46.0,4
415,2022-02-19,58.6,27.0,42.4,5
416,2022-02-20,61.0,30.0,42.0,6
417,2022-02-21,72.0,71.0,46.0,0
418,2022-02-22,72.4,39.0,46.0,1
419,2022-02-23,69.4,44.0,45.0,2
420,2022-02-24,63.0,54.0,46.6,3
421,2022-02-25,72.0,65.99,45.61,4
422,2022-02-26,62.61,36.0,44.0,5
423,2022-02-27,59.61,29.0,44.39,6
424,2022-02-28,70.77,62.62,47.0,0
425,2022-03-01,75.77,65.62,47.61,1
426,2022-03-02,78.38,55.62,43.62,2
427,2022-03-03,76.38,107.62,46.0,3
428,2022-03-04,75.37,108.63,46.62,4
429,2022-03-05,57.62,33.38,42.62,5
430,2022-03-06,55.62,36.37,42.0,6
431,2022-03-07,76.37,84.0,46.0,0
432,2022-03-08,74.19,62.81,45.0,1
433,2022-03-09,61.36,57.63,46.0,2
434,2022-03-10,74.36,46.64,44.36,3
435,2022-03-11,70.0,64.97,45.67,4
436,2022-03-12,55.67,31.31,43.0,5
437,2022-03-13,55.0,34.0,42.31,6
438,2022-03-14,75.31,42.0,43.69,0
439,2022-03-15,72.28,49.71,44.0,1
440,2022-03-16,67.28,43.0,45.0,2
441,2022-03-17,70.0,50.0,43.0,3
442,2022-03-18,61.99,72.73,42.27,4
443,2022-03-19,59.0,21.0,42.0,5
444,2022-03-20,54.73,37.0,42.0,6
445,2022-03-21,70.0,33.0,43.0,0
446,2022-03-22,72.55,35.45,43.0,1
447,2022-03-23,70.0,35.0,43.73,2
448,2022-03-24,70.0,27.0,38.0,3
449,2022-03-25,65.27,25.73,44.0,4
450,2022-03-26,54.73,32.0,42.26,5
451,2022-03-27,54.74,30.0,41.26,6
452,2022-03-28,76.26,37.74,40.26,0
453,2022-03-29,75.26,28.74,44.0,1
454,2022-03-30,77.0,118.0,47.0,2
455,2022-03-31,77.0,90.0,44.99,3
456,2022-04-01,69.25,81.75,43.25,4
457,2022-04-02,62.75,34.25,43.0,5
458,2022-04-03,61.0,26.0,41.25,6
459,2022-04-04,78.25,79.75,44.0,0
460,2022-04-05,77.0,34.75,42.25,1
461,2022-04-06,72.0,98.25,45.0,2
462,2022-04-07,66.0,48.75,42.25,3
463,2022-04-08,63.0,54.0,41.25,4
464,2022-04-09,62.25,23.0,42.0,5
