ID,Date,Consumption
192,2021-07-12 00:00:00 -> 2021-07-12 23:55:00,185.76
193,2021-07-13 00:00:00 -> 2021-07-13 23:55:00,205.00
194,2021-07-14 00:00:00 -> 2021-07-14 23:55:00,148.00
195,2021-07-15 00:00:00 -> 2021-07-15 23:55:00,137.00
196,2021-07-16 00:00:00 -> 2021-07-16 23:55:00,140.24
197,2021-07-17 00:00:00 -> 2021-07-17 23:55:00,113.00
198,2021-07-18 00:00:00 -> 2021-07-18 23:55:00,123.24
199,2021-07-19 00:00:00 -> 2021-07-19 23:55:00,173.58
200,2021-07-20 00:00:00 -> 2021-07-20 23:55:00,180.00
201,2021-07-21 00:00:00 -> 2021-07-21 23:55:00,154.58
202,2021-07-22 00:00:00 -> 2021-07-22 23:55:00,187.58
203,2021-07-23 00:00:00 -> 2021-07-23 23:55:00,129.53
204,2021-07-24 00:00:00 -> 2021-07-24 23:55:00,133.00
205,2021-07-25 00:00:00 -> 2021-07-25 23:55:00,115.00
206,2021-07-26 00:00:00 -> 2021-07-26 23:55:00,215.53
207,2021-07-27 00:00:00 -> 2021-07-27 23:55:00,176.53
208,2021-07-28 00:00:00 -> 2021-07-28 23:55:00,151.53
209,2021-07-29 00:00:00 -> 2021-07-29 23:55:00,160.53
210,2021-07-30 00:00:00 -> 2021-07-30 23:55:00,178.53
211,2021-07-31 00:00:00 -> 2021-07-31 23:55:00,128.47
212,2021-08-01 00:00:00 -> 2021-08-01 23:55:00,132.00
213,2021-08-02 00:00:00 -> 2021-08-02 23:55:00,171.00
214,2021-08-03 00:00:00 -> 2021-08-03 23:55:00,164.98
215,2021-08-04 00:00:00 -> 2021-08-04 23:55:00,148.50
216,2021-08-05 00:00:00 -> 2021-08-05 23:55:00,159.50
217,2021-08-06 00:00:00 -> 2021-08-06 23:55:00,119.49
218,2021-08-07 00:00:00 -> 2021-08-07 23:55:00,129.49
219,2021-08-08 00:00:00 -> 2021-08-08 23:55:00,130.49
220,2021-08-09 00:00:00 -> 2021-08-09 23:55:00,123.00
221,2021-08-10 00:00:00 -> 2021-08-10 23:55:00,118.51
222,2021-08-11 00:00:00 -> 2021-08-11 23:55:00,135.51
223,2021-08-12 00:00:00 -> 2021-08-12 23:55:00,117.00
224,2021-08-13 00:00:00 -> 2021-08-13 23:55:00,116.51
225,2021-08-14 00:00:00 -> 2021-08-14 23:55:00,120.52
226,2021-08-15 00:00:00 -> 2021-08-15 23:55:00,121.52
227,2021-08-16 00:00:00 -> 2021-08-16 23:55:00,114.52
228,2021-08-17 00:00:00 -> 2021-08-17 23:55:00,127.52
229,2021-08-18 00:00:00 -> 2021-08-18 23:55:00,145.00
230,2021-08-19 00:00:00 -> 2021-08-19 23:55:00,114.00
231,2021-08-20 00:00:00 -> 2021-08-20 23:55:00,111.52
232,2021-08-21 00:00:00 -> 2021-08-21 23:55:00,126.52
233,2021-08-22 00:00:00 -> 2021-08-22 23:55:00,126.00
234,2021-08-23 00:00:00 -> 2021-08-23 23:55:00,133.48
235,2021-08-24 00:00:00 -> 2021-08-24 23:55:00,150.00
236,2021-08-25 00:00:00 -> 2021-08-25 23:55:00,130.00
237,2021-08-26 00:00:00 -> 2021-08-26 23:55:00,141.52
238,2021-08-27 00:00:00 -> 2021-08-27 23:55:00,134.52
239,2021-08-28 00:00:00 -> 2021-08-28 23:55:00,131.00
240,2021-08-29 00:00:00 -> 2021-08-29 23:55:00,158.48
241,2021-08-30 00:00:00 -> 2021-08-30 23:55:00,156.52
242,2021-08-31 00:00:00 -> 2021-08-31 23:55:00,138.33
243,2021-09-01 00:00:00 -> 2021-09-01 23:55:00,129.00
244,2021-09-02 00:00:00 -> 2021-09-02 23:55:00,151.33
245,2021-09-03 00:00:00 -> 2021-09-03 23:55:00,154.00
246,2021-09-04 00:00:00 -> 2021-09-04 23:55:00,128.67
247,2021-09-05 00:00:00 -> 2021-09-05 23:55:00,128.00
248,2021-09-06 00:00:00 -> 2021-09-06 23:55:00,182.33
249,2021-09-07 00:00:00 -> 2021-09-07 23:55:00,139.33
250,2021-09-08 00:00:00 -> 2021-09-08 23:55:00,148.33
251,2021-09-09 00:00:00 -> 2021-09-09 23:55:00,144.00
252,2021-09-10 00:00:00 -> 2021-09-10 23:55:00,140.00
253,2021-09-11 00:00:00 -> 2021-09-11 23:55:00,125.33
254,2021-09-12 00:00:00 -> 2021-09-12 23:55:00,128.00
255,2021-09-13 00:00:00 -> 2021-09-13 23:55:00,165.00
256,2021-09-14 00:00:00 -> 2021-09-14 23:55:00,145.00
257,2021-09-15 00:00:00 -> 2021-09-15 23:55:00,146.00
258,2021-09-16 00:00:00 -> 2021-09-16 23:55:00,168.67
259,2021-09-17 00:00:00 -> 2021-09-17 23:55:00,178.00
