ID,Date,Consumption
166,2021-11-03 00:00:00 -> 2021-11-03 23:55:00,15.00
167,2021-11-04 00:00:00 -> 2021-11-04 23:55:00,38.00
168,2021-11-05 00:00:00 -> 2021-11-05 23:55:00,32.00
169,2021-11-06 00:00:00 -> 2021-11-06 23:55:00,37.00
170,2021-11-07 00:00:00 -> 2021-11-07 23:55:00,53.00
171,2021-11-08 00:00:00 -> 2021-11-08 23:55:00,27.00
172,2021-11-09 00:00:00 -> 2021-11-09 23:55:00,29.00
173,2021-11-10 00:00:00 -> 2021-11-10 23:55:00,31.00
174,2021-11-11 00:00:00 -> 2021-11-11 23:55:00,25.00
175,2021-11-12 00:00:00 -> 2021-11-12 23:55:00,38.00
176,2021-11-13 00:00:00 -> 2021-11-13 23:55:00,56.00
177,2021-11-14 00:00:00 -> 2021-11-14 23:55:00,23.00
178,2021-11-15 00:00:00 -> 2021-11-15 23:55:00,43.00
179,2021-11-16 00:00:00 -> 2021-11-16 23:55:00,15.00
180,2021-11-17 00:00:00 -> 2021-11-17 23:55:00,35.00
181,2021-11-18 00:00:00 -> 2021-11-18 23:55:00,53.00
182,2021-11-19 00:00:00 -> 2021-11-19 23:55:00,54.00
183,2021-11-20 00:00:00 -> 2021-11-20 23:55:00,54.00
184,2021-11-21 00:00:00 -> 2021-11-21 23:55:00,48.00
185,2021-11-22 00:00:00 -> 2021-11-22 23:55:00,31.00
186,2021-11-23 00:00:00 -> 2021-11-23 23:55:00,31.00
187,2021-11-24 00:00:00 -> 2021-11-24 23:55:00,51.00
188,2021-11-25 00:00:00 -> 2021-11-25 23:55:00,15.00
189,2021-11-26 00:00:00 -> 2021-11-26 23:55:00,18.00
190,2021-11-27 00:00:00 -> 2021-11-27 23:55:00,38.00
191,2021-11-28 00:00:00 -> 2021-11-28 23:55:00,17.00
192,2021-11-29 00:00:00 -> 2021-11-29 23:55:00,17.00
193,2021-11-30 00:00:00 -> 2021-11-30 23:55:00,52.00
194,2021-12-01 00:00:00 -> 2021-12-01 23:55:00,13.00
195,2021-12-02 00:00:00 -> 2021-12-02 23:55:00,9.00
196,2021-12-03 00:00:00 -> 2021-12-03 23:55:00,0.00
197,2021-12-04 00:00:00 -> 2021-12-04 23:55:00,0.00
198,2021-12-05 00:00:00 -> 2021-12-05 23:55:00,0.00
199,2021-12-06 00:00:00 -> 2021-12-06 23:55:00,15.00
200,2021-12-07 00:00:00 -> 2021-12-07 23:55:00,45.00
201,2021-12-08 00:00:00 -> 2021-12-08 23:55:00,7.00
202,2021-12-09 00:00:00 -> 2021-12-09 23:55:00,33.00
203,2021-12-10 00:00:00 -> 2021-12-10 23:55:00,20.00
204,2021-12-11 00:00:00 -> 2021-12-11 23:55:00,27.00
205,2021-12-12 00:00:00 -> 2021-12-12 23:55:00,47.00
206,2021-12-13 00:00:00 -> 2021-12-13 23:55:00,44.00
207,2021-12-14 00:00:00 -> 2021-12-14 23:55:00,46.00
208,2021-12-15 00:00:00 -> 2021-12-15 23:55:00,43.00
209,2021-12-16 00:00:00 -> 2021-12-16 23:55:00,43.00
210,2021-12-17 00:00:00 -> 2021-12-17 23:55:00,43.00
211,2021-12-18 00:00:00 -> 2021-12-18 23:55:00,45.00
212,2021-12-19 00:00:00 -> 2021-12-19 23:55:00,45.00
213,2021-12-20 00:00:00 -> 2021-12-20 23:55:00,24.00
214,2021-12-21 00:00:00 -> 2021-12-21 23:55:00,35.00
215,2021-12-22 00:00:00 -> 2021-12-22 23:55:00,22.00
216,2021-12-23 00:00:00 -> 2021-12-23 23:55:00,29.00
217,2021-12-24 00:00:00 -> 2021-12-24 23:55:00,5.00
218,2021-12-25 00:00:00 -> 2021-12-25 23:55:00,7.00
219,2021-12-26 00:00:00 -> 2021-12-26 23:55:00,17.00
220,2021-12-27 00:00:00 -> 2021-12-27 23:55:00,30.00
221,2021-12-28 00:00:00 -> 2021-12-28 23:55:00,24.00
222,2021-12-29 00:00:00 -> 2021-12-29 23:55:00,31.00
223,2021-12-30 00:00:00 -> 2021-12-30 23:55:00,39.00
224,2021-12-31 00:00:00 -> 2021-12-31 23:55:00,46.00
225,2022-01-01 00:00:00 -> 2022-01-01 23:55:00,41.00
226,2022-01-02 00:00:00 -> 2022-01-02 23:55:00,17.00
227,2022-01-03 00:00:00 -> 2022-01-03 23:55:00,29.00
228,2022-01-04 00:00:00 -> 2022-01-04 23:55:00,21.00
229,2022-01-05 00:00:00 -> 2022-01-05 23:55:00,36.00
230,2022-01-06 00:00:00 -> 2022-01-06 23:55:00,30.00
231,2022-01-07 00:00:00 -> 2022-01-07 23:55:00,46.00
