ID,Date,D_kilowatt_cons
594,2023-01-05,19.0
595,2023-01-06,17.0
596,2023-01-07,14.0
597,2023-01-08,32.0
598,2023-01-09,14.0
599,2023-01-10,49.0
600,2023-01-11,44.0
601,2023-01-12,46.0
602,2023-01-13,30.0
603,2023-01-14,50.0
604,2023-01-15,12.0
605,2023-01-16,29.0
606,2023-01-17,15.0
607,2023-01-18,16.0
608,2023-01-19,42.0
609,2023-01-20,12.0
610,2023-01-21,47.0
611,2023-01-22,38.0
612,2023-01-23,21.0
613,2023-01-24,45.0
614,2023-01-25,46.0
615,2023-01-26,56.0
616,2023-01-27,46.0
617,2023-01-28,18.0
618,2023-01-29,60.0
619,2023-01-30,60.0
620,2023-01-31,62.0
621,2023-02-01,50.0
622,2023-02-02,60.0
623,2023-02-03,61.0
624,2023-02-04,60.0
625,2023-02-05,67.0
626,2023-02-06,70.0
627,2023-02-07,69.0
628,2023-02-08,58.0
629,2023-02-09,49.0
630,2023-02-10,64.0
631,2023-02-11,69.0
632,2023-02-12,57.0
633,2023-02-13,34.0
634,2023-02-14,73.0
635,2023-02-15,71.0
636,2023-02-16,32.0
637,2023-02-17,62.0
638,2023-02-18,65.0
639,2023-02-19,50.0
640,2023-02-20,62.0
641,2023-02-21,34.0
642,2023-02-22,59.0
643,2023-02-23,51.0
644,2023-02-24,54.0
645,2023-02-25,25.0
646,2023-02-26,30.0
647,2023-02-27,55.0
648,2023-02-28,42.0
649,2023-03-01,47.0
650,2023-03-02,57.0
651,2023-03-03,58.0
652,2023-03-04,92.0
653,2023-03-05,95.0
654,2023-03-06,52.0
655,2023-03-07,73.0
656,2023-03-08,61.0
657,2023-03-09,38.0
658,2023-03-10,46.0
659,2023-03-11,61.0
660,2023-03-12,98.0
661,2023-03-13,99.0
662,2023-03-14,36.0
663,2023-03-15,99.0
664,2023-03-16,106.0
665,2023-03-17,105.0
666,2023-03-18,106.0
667,2023-03-19,46.0
668,2023-03-20,20.0
669,2023-03-21,96.0
670,2023-03-22,94.0
671,2023-03-23,109.0
672,2023-03-24,107.0
673,2023-03-25,97.0
674,2023-03-26,99.0
675,2023-03-27,69.0
676,2023-03-28,121.0
677,2023-03-29,95.0
678,2023-03-30,96.0
679,2023-03-31,72.0
680,2023-04-01,112.0
681,2023-04-02,94.0
682,2023-04-03,121.0
683,2023-04-04,91.0
684,2023-04-05,62.0
685,2023-04-06,127.0
686,2023-04-07,127.0
687,2023-04-08,74.0
688,2023-04-09,118.0
689,2023-04-10,133.0
690,2023-04-11,108.0
691,2023-04-12,127.0
692,2023-04-13,33.0
693,2023-04-14,65.0
694,2023-04-15,19.0
695,2023-04-16,115.0
696,2023-04-17,116.0
697,2023-04-18,71.0
698,2023-04-19,128.0
699,2023-04-20,115.0
700,2023-04-21,133.0
701,2023-04-22,134.0
702,2023-04-23,122.0
703,2023-04-24,105.0
704,2023-04-25,128.0
705,2023-04-26,145.0
706,2023-04-27,140.0
707,2023-04-28,140.0
708,2023-04-29,89.0
709,2023-04-30,62.0
710,2023-05-01,49.0
711,2023-05-02,84.0
712,2023-05-03,108.0
713,2023-05-04,131.0
714,2023-05-05,135.0
715,2023-05-06,136.0
716,2023-05-07,140.0
717,2023-05-08,41.0
718,2023-05-09,134.0
719,2023-05-10,61.0
720,2023-05-11,113.0
721,2023-05-12,124.0
722,2023-05-13,36.0
723,2023-05-14,100.0
724,2023-05-15,80.0
725,2023-05-16,66.0
726,2023-05-17,53.0
727,2023-05-18,67.0
728,2023-05-19,71.0
729,2023-05-20,33.0
730,2023-05-21,86.0
731,2023-05-22,119.0
732,2023-05-23,125.0
733,2023-05-24,129.0
734,2023-05-25,117.0
735,2023-05-26,141.0
736,2023-05-27,149.0
737,2023-05-28,147.0
738,2023-05-29,118.0
739,2023-05-30,122.0
740,2023-05-31,119.0
741,2023-06-01,134.0
742,2023-06-02,147.0
743,2023-06-03,135.0
744,2023-06-04,91.0
745,2023-06-05,108.0
746,2023-06-06,137.0
747,2023-06-07,147.0
748,2023-06-08,148.0
749,2023-06-09,134.0
750,2023-06-10,135.0
751,2023-06-11,143.0
752,2023-06-12,144.0
753,2023-06-13,74.0
754,2023-06-14,75.0
755,2023-06-15,119.0
756,2023-06-16,153.0
757,2023-06-17,150.0
758,2023-06-18,146.0
759,2023-06-19,140.0
760,2023-06-20,134.0
761,2023-06-21,139.0
762,2023-06-22,134.0
763,2023-06-23,141.0
764,2023-06-24,122.0
765,2023-06-25,145.0
766,2023-06-26,152.0
767,2023-06-27,150.0
768,2023-06-28,129.0
769,2023-06-29,120.0
770,2023-06-30,133.0
771,2023-07-01,68.0
772,2023-07-02,147.0
773,2023-07-03,139.0
774,2023-07-04,148.0
775,2023-07-05,148.0
776,2023-07-06,148.0
777,2023-07-07,143.0
778,2023-07-08,130.0
779,2023-07-09,141.0
780,2023-07-10,139.0
